"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 04 12:25:29 IST 2020","Sat Apr 04 12:25:34 IST 2020","5035","","Login Page feature tests","","Login Page feature tests","Verify Base URL is launched","Verify Base URL is launched",""
"passed","Sat Apr 04 12:25:34 IST 2020","Sat Apr 04 12:25:34 IST 2020","177","","Login Page feature tests","","Login Page feature tests","Verify Location Field","Verify Location Field",""
